restaurant,account,name,level,comment_star,comment,
打狗霸 TAKAO 1972,5770ca7023679c42ad95000c,倩倩,(8則評論),0,表示讚賞分享,
打狗霸 TAKAO 1972,58eae231699b6e777bbb27f0,王俊傑,紫級會員(156則評論),2,裝潢很棒，但是用餐環境髒，店員訓練不足，很遺憾。生魚片：爆雷，建議真的不要點，每吃必拉熟食類就普普通通，我看很多人點牛肉丼聽說吃到飽方案超級無敵不划算，很多人點的菜都沒來，還不如吃單點的火鍋+ 2分享,
打狗霸 TAKAO 1972,594a414523679c7b0b0911d9,林淨儀,(4則評論),0,海鮮的味道不太習慣 但CP直還算高裝潢很有氣氛表示讚賞分享,
打狗霸 TAKAO 1972,5968bb1423679c48dba27d3e,Zoe Chao,(7則評論),1,服務跟食材都不優但是環境不錯表示讚賞分享,
打狗霸 TAKAO 1972,57986e3523679c43dad87ad0,Nonno Qiu,(7則評論),1,海鮮超不新鮮湯底沒味道世界不推表示讚賞分享,
打狗霸 TAKAO 1972,582bc7d923679c3c0ba7859f,Dapi Lee,(2則評論),1,很不推～表示讚賞分享,
打狗霸 TAKAO 1972,54aaaf5ed4fdab412286ae40,加小菲愛碎碎唸,愛食記部落客(425篇食記),0,【台北萬華區】☼打狗霸takao1972☼昆明店。西門町火鍋推薦。海霸王集團旗下最新力作。近千坪日式禪風質感餐廳。涮涮鍋/吃到飽/生魚片/丼飯一次滿足+ 3分享開啟食記›,
打狗霸 TAKAO 1972,54cd75f22756dd5b7cf0d935,爆肝護士,愛食記部落客(1064篇食記),0,打狗霸｜西門町海霸王旗下平價吃到飽火鍋．麻辣鍋、生魚片、日式料理一次搞定！+ 9分享開啟食記›,
打狗霸 TAKAO 1972,558ccbdd699b6e312c440ea6,民宿女王芽月,愛食記部落客(1046篇食記),0,台北西門町美食-打狗霸takao1972/西門町/598吃到飽/野生黑鮪魚/生魚片吃到飽/沙朗牛吃到飽/不收服務費/宵夜/德立莊/海霸王/文末送免費吃到飽+ 6分享開啟食記›,
打狗霸 TAKAO 1972,557c63e8699b6e6e8855dee4,廖羚佑,金級會員(80則評論),2,貴 肉又少表示讚賞分享,
打狗霸 TAKAO 1972,550acf1b2756dd02c8850366,捲捲和土豆拿鐵,愛食記部落客(1539篇食記),0,打狗霸takao1972 昆明店。近西門町。個人鍋。聚餐好選擇。+ 3分享開啟食記›,
打狗霸 TAKAO 1972,5637793a2756dd08e923bb17,Ck Lin,(1則評論),2,海鮮感覺不新鮮..服務員都心不在焉..個人感覺只有環境優表示讚賞分享,
打狗霸 TAKAO 1972,580a873123679c36197de5d4,Lily Yang,紫級會員(127則評論),4,和風豬肉肉和蝦子很新鮮 菜很大盤表示讚賞分享,
打狗霸 TAKAO 1972,5657140e2756dd7649f43dee,魚樂分享誌•小魚,愛食記部落客(707篇食記),0,打狗霸TAKAO1972/火鍋/生魚片/日式丼飯+ 1分享開啟食記›,
打狗霸 TAKAO 1972,5872391923679c44385bd69b,Poki Lee,(1則評論),2,服務需要在加強訓練，菜盤和肉盤都到了二十分鐘，基本鍋底都一直沒上⋯問了至少兩次鍋底才慢慢送來，服務生也不積極⋯餐點一般，這裡只有環境很好而已。表示讚賞分享,
打狗霸 TAKAO 1972,5870bd7b699b6e683e40e130,陳世杰,(2則評論),4,環境好表示讚賞分享,
打狗霸 TAKAO 1972,54637e1cd4fdab447a817870,小可愛阿貴,愛食記部落客(1214篇食記),0,西門 打狗霸takao1972(德立莊店)火鍋與日本料理的結合餐廳，超大空間適合聚餐推薦+ 11分享開啟食記›,
打狗霸 TAKAO 1972,54db63272756dd37fc95ac07,吳大妮,愛食記部落客(518篇食記),0,海霸王新品牌~打狗霸 takao1972~有四種火鍋湯底，冷冷的冬天就是要吃鍋，另外也有生魚片壽司立吞區表示讚賞分享開啟食記›,
打狗霸 TAKAO 1972,55ddfc9f699b6e23c6616a29,男子的日常生活,愛食記部落客(408篇食記),0,打狗霸 takao1972，西門日式料理火鍋店，四種火鍋湯底，生魚片壽司立吞區，海霸王新品牌。+ 18分享開啟食記›,
春熙巷川麵堂,5d515e688c906d019b218f34,張貴雄,(4則評論),5,牛四寶好吃表示讚賞分享,
春熙巷川麵堂,54b604aed4fdab68baa88539,夢與幻的地圖,愛食記部落客(1516篇食記),0,春熙巷川麵堂│忠孝新生美食│鮮香麻辣的四川味乾麵，搭配大骨湯不錯吃+ 3分享開啟食記›,
春熙巷川麵堂,55c9e8fb2756dd1401188bce,跟著毛怪吃世界,愛食記部落客(56篇食記),3.5,春熙巷川麵堂 - 麻辣滷味、四川口味麵食料理、重口味的愛 I 忠孝新生5號出口+ 2分享開啟食記›,
春熙巷川麵堂,5c014e1ff524687d75ea4133,Gordon Yang,(2則評論),4.5,麻辣燙的味道很特別，醬料是黑芝麻做的，吃完後還可以喝大骨湯。+ 4分享,
匠樂割烹壽司,5742eaee23679c3bb2dee112,Ayumi Lai,(3則評論),5,托了好朋友的福氣！充滿感恩的匠樂。最後一訪🥢即將在12月底告別台灣到日本🇯🇵當私廚的阿鴻師傅兄弟檔，這一次是最後一次親手捏壽司🍣 給我們吃了。（嗚。🤧)可能因為帶著情緒特別認真去體會、感覺九年的功力都在這一次愉悅豐饒的 Omakase。謝謝招待！舌頭實在受福了。表示讚賞分享,
匠樂割烹壽司,5872e9b72756dd7a5aeb2e25,amy&anthony,愛食記部落客(1144篇食記),0,匠樂+ 1分享開啟食記›,
匠樂割烹壽司,544e8634d4fdab4f468379e9,Claire 食旅記事,愛食記部落客(228篇食記),0,台北大安區 ✖ 匠樂割烹壽司－－台北高評價日料名店，氣氛輕鬆愉快，餐點品質完美！【大安站捷運站美食】+ 2分享開啟食記›,
匠樂割烹壽司,54bd013dd4fdab55fa939939,米兒情事,愛食記部落客(646篇食記),0,匠樂，愉悅豐饒的割烹壽司饗宴表示讚賞分享開啟食記›,
養鍋 Yang Guo 石頭涮涮鍋 (台北松菸店),5de8de0b22613964f7cc5cce,Cools Huang,(1則評論),5,超好吃CP值超高的，每次都滿滿的人，記得要先訂位喔！表示讚賞分享,
養鍋 Yang Guo 石頭涮涮鍋 (台北松菸店),54ac229cd4fdab6eca38e0ea,愛吃鬼芸芸,愛食記部落客(2503篇食記),0,養鍋石頭涮涮鍋(松菸店)，來自台中的平價火鍋表示讚賞分享開啟食記›,
養鍋 Yang Guo 石頭涮涮鍋 (台北松菸店),55bb9d8b699b6e32c3b5f5ee,Doudou Xiao,(10則評論),5,好吃 超推♥+ 3分享,
養鍋 Yang Guo 石頭涮涮鍋 (台北松菸店),54b68edad4fdab0139edd942,開朗少女,愛食記部落客(272篇食記),0,松菸火鍋推薦 :: 養鍋 石頭火鍋豪華肉盤不用300元！超推薦山藥牛奶鍋濃醇不膩口+ 1分享開啟食記›,
頂級甜不辣,5de8cad422613964f7cc55d4,郭年輕,(1則評論),0,人潮很多要排一點點隊甜不辣很好吃、湯更好喝！吃的過程中，有看到觀光客在排隊購買，服務人員很特別告訴觀光客～歡迎他們來台北觀光旅遊！感覺他們有在為台灣的觀光盡一份心力！特別為他們👍👍👍❤️我推薦有到龍山寺附近要特別品嚐一下～+ 2分享,
頂級甜不辣,53a466a76f345b73b0ed059a,周花花，甲飽沒,愛食記部落客(1680篇食記),0,頂級甜不辣 食尚玩家推薦！萬華廣州街艋舺夜市小吃，日本人也愛+ 3分享開啟食記›,
頂級甜不辣,59c7abc22261394dd03aafb0,KAO空食客,愛食記部落客(238篇食記),4,頂級甜不辣- 超人氣台灣小吃 傳承阿嬤的獨家醬料 排隊店家 @台北龍山寺 x KAO空食客+ 1分享開啟食記›,
頂級甜不辣,59b20f12f52468252aefd3de,Hana食旅生活,愛食記部落客(246篇食記),4.5,頂級甜不辣 | 廣州街夜市(艋舺夜市)內 獨特醬料非常夠味 喜歡油豆腐+ 6分享開啟食記›,
頂級甜不辣,54db63272756dd37fc95ac07,吳大妮,愛食記部落客(518篇食記),0,"龍山寺捷運站美食,兩喜號+頂級甜不辣+懷念愛玉冰~美食多到破表 + 7分享開啟食記›",
頂級甜不辣,54ff8fcf2756dd589c383597,Wisely的拍拍照寫寫字,愛食記部落客(1505篇食記),0,艋舺夜市＠皇后牛排、頂級甜不辣、懷念愛玉冰、天順青草茶～捷運龍山寺站美食+ 3分享開啟食記›,
頂級甜不辣,53c50d4fd4fdab1392daff14,Rou Jyun Chen,(1則評論),0,我從小吃到大味到真是棒表示讚賞分享,
頂級甜不辣,53bdf3bdd4fdab213072997b,斑比Banbi,愛食記部落客(1380篇食記),0,萬華夜市 頂級甜不辣.懷念愛玉冰 來艋舺必點的排隊美食小吃+ 9分享開啟食記›,
頂級甜不辣,54ac229cd4fdab6eca38e0ea,愛吃鬼芸芸,愛食記部落客(2503篇食記),0,華西街夜市～兩喜號、頂級甜不辣、老三豬腳、阿猜嬤+ 1分享開啟食記›,
頂級甜不辣,54ddafec2756dd76b8e10cd5,小公主Irene,愛食記部落客(1718篇食記),0,【台北萬華區】人氣滿點‧頂級甜不辣+ 1分享開啟食記›,
大稻埕魯肉飯,56b462882756dd7175a4d6d9,米兒＆三分像料理,愛食記部落客(72篇食記),5,魯肉飯好好吃久久沒吃會想念辣椒也很厲害。加在每一樣東西都好吃豬腳也魯的很香路過會被吸引表示讚賞分享,
大稻埕魯肉飯,59c7abc22261394dd03aafb0,KAO空食客,愛食記部落客(238篇食記),4,大稻埕魯肉飯- 傳承阿公的好滋味 古早味台式傳統美食 @台北火車站 表示讚賞分享開啟食記›,
大稻埕魯肉飯,5ad0d2fcf524684e2a8f6087,妃靜,愛食記部落客(279篇食記),5,北車美食小吃-大稻埕魯肉飯.傳承60年的好滋味.大同區小吃.大稻埕美食.近台北車站捷運.華陰街商圈+ 5分享開啟食記›,
大稻埕魯肉飯,59a6e50ef524682eb8e6c602,Edie Tsui,(1則評論),1,沒人，服務普通，東西普通還會找錯錢表示讚賞分享,
大稻埕魯肉飯,5b7f88b1226139328a65a827,狐狸出走中,(5則評論),4.5,大稻埕魯肉飯． 北車後站美食． 走進時光的巷弄，尋找飄香一甲子的老味道． 台北必吃魯肉飯推薦表示讚賞分享開啟食記›,
大稻埕魯肉飯,5506edbb2756dd530bd64aa6,又蘋's diary,愛食記部落客(87篇食記),0,台北大同區｜大稻埕魯肉飯 承襲一甲子的好味道，市場中最平凡卻也最讓人懷念的記憶(附菜單)！+ 4分享開啟食記›,
大稻埕魯肉飯,56df6f402756dd68870e8c35,妮波碎碎念,愛食記部落客(24篇食記),4.5,大稻埕魯肉飯 台北車站Y13出口後火車站美食 開業60年傳承三代+ 1分享開啟食記›,
大稻埕魯肉飯,57aea9142756dd520d1dc42b,小咪ma。吃喝玩樂趣,愛食記部落客(373篇食記),0,大稻埕魯肉飯。一碗魯肉飯 傳承60年的老味道。控肉飯、魯豬腳 國民平價小吃。後火車站美食。華陰街商圈美食+ 4分享開啟食記›,
大稻埕魯肉飯,5cc46a09f524685ab4db103b,銅板食遊樂,愛食記部落客(13篇食記),4.5,大稻埕滷肉飯／滷汁飄香小巷弄／粒粒分明的滷肉飯＋家鄉味的菜頭湯 / 台北後火車站 ／ 台北美食+ 1分享開啟食記›,
大稻埕魯肉飯,5c4ec29e226139504f795689,可大王愛旅行,愛食記部落客(18篇食記),3.5,大稻埕魯肉飯 台北後火車站美食 為你擦上油脂餘光的潤唇膏+ 3分享開啟食記›,
大稻埕魯肉飯,5c4f21eaf5246859b28993ad,愛蜜莉,愛食記部落客(18篇食記),4.5,"大稻埕魯肉飯。華陰街後站商圈,一間傳承60年阿公手藝的魯肉飯店+ 1分享開啟食記›",
大稻埕魯肉飯,559aa3432756dd45796b88f6,ASIH的享樂人生,愛食記部落客(135篇食記),5,大稻埕魯肉飯+ 3分享開啟食記›,
大稻埕魯肉飯,5aa8fa2f2261391890106b95,蔡小靜,(2則評論),4,滷汁不鹹不膩剛剛好😋但食量大的可能要多點幾碗才能吃飽！表示讚賞分享,
大稻埕魯肉飯,57e81b7023679c0fc40a31dd,寶小銘,愛食記部落客(58篇食記),5,大稻埕魯肉飯~~台北車站巷弄美食．令人回味無窮的傳統美味+ 6分享開啟食記›,
大稻埕魯肉飯,580a3d06699b6e11ed1f0dc4,朵利斯,愛食記部落客(313篇食記),4,大稻埕魯肉飯-台北車站小吃美食X台灣傳統道地古早味X新增香嫩腿庫飯X北門捷運站  + 2分享開啟食記›,
大稻埕魯肉飯,53a02ab96f345b3daa19bdac,★萌萌☆嚐飽途,愛食記部落客(140篇食記),5,大稻埕魯肉飯台灣平民傳統美食，滷肉飯/豬腳/控肉/腿庫飯推薦+ 4分享開啟食記›,
大稻埕魯肉飯,5969efc3f5246844e081ee9c,Joe Chan,(7則評論),4,如果你喜歡魯肉飯，你就一定要來試試！入口即溶的感覺！+ 2分享,
大稻埕魯肉飯,54fb22432756dd27a7588775,江江,(9則評論),3,沒想像中好吃 感覺像是長輩魯完給小孩去販賣的感覺表示讚賞分享,
大稻埕魯肉飯,568a11d2699b6e65a81fba60,Quby說五四三,愛食記部落客(167篇食記),0,大稻埕魯肉飯·台北後火車站商圈·市場裡飄香三代傳承60年的好滋味表示讚賞分享開啟食記›,
大稻埕魯肉飯,580e334123679c20c3036445,Saint．聖吃遊 ‧ 回憶倉儲,愛食記部落客(229篇食記),4,台北車站美食 ‧ 大稻埕魯肉飯 ‧ 六十年老店新開，深得我心的軟嫩彈牙中段豬腳！！ 後火車站華陰街 ‧ 滷肉飯焢肉飯豬腳古早味小吃+ 23分享開啟食記›,
大稻埕魯肉飯,5a5af8fbf52468602511af02,Khloe減法生活,愛食記部落客(82篇食記),5,大稻埕魯肉飯，北車後站 ，豬腳入口即化，可外送+ 2分享開啟食記›,
大稻埕魯肉飯,5797032323679c70d1e7f61a,饅頭弟,愛食記部落客(350篇食記),5,大稻埕魯肉飯／台北捷運站～銅板美食，飄香60年好味道，傳承古早味美味，老滷汁深受消費者的喜愛，豬腳入口即化，就連外國旅客也愛吃+ 5分享開啟食記›,
大稻埕魯肉飯,5930cd78699b6e6630a743b7,小麥&鳩鳩的閒話家常,愛食記部落客(106篇食記),4,台北車站-大稻埕魯肉飯表示讚賞分享開啟食記›,
大稻埕魯肉飯,55f64e982756dd231d3af253,女子的休假計劃,愛食記部落客(412篇食記),4.5,台北 | 大稻埕魯肉飯，隱藏於市場間，飄香一甲子傳承三代的好味道 |華陰街商圈美食 |小資族美食 |國民美食 ▲女子的休假計劃▼+ 3分享開啟食記›,
大稻埕魯肉飯,54d8a0ff2756dd699b3e91c2,布咕布咕美食小天地,愛食記部落客(1895篇食記),0,大稻埕魯肉飯-傳承60年的小吃店+ 2分享開啟食記›,
大稻埕魯肉飯,58790c6e23679c1f64bc1611,范范,愛食記部落客(265篇食記),5,大稻埕魯肉飯 華陰街商圈 傳承阿公60年的老滋味 台北火車站後站美食 @范范愛分享表示讚賞分享開啟食記›,
大稻埕魯肉飯,5787af852756dd7d0fc125b4,小資上班族的下班提案,愛食記部落客(53篇食記),4.5,大稻埕魯肉飯∥傳承60年的古早味『豬腳、控肉、魯肉飯』三個願望一次滿足∥ – 小資上班族的下班提案表示讚賞分享開啟食記›,
大稻埕魯肉飯,56c9a778699b6e5d005bde0c,Wing Tsay,愛食記部落客(111篇食記),4,大稻埕魯肉飯。台北後車站／傳承的好味道／豬腳飯／金針排骨湯／控肉便當體驗。捷運北門站／台北車站／華陰街商圈美食。+ 4分享開啟食記›,
大稻埕魯肉飯,54ff8fcf2756dd589c383597,Wisely的拍拍照寫寫字,愛食記部落客(1505篇食記),0,台北大同。捷運台北車站︱大稻埕魯肉飯：火車後站小吃，焢肉飯味道更佳+ 1分享開啟食記›,
大稻埕魯肉飯,54de23ab2756dd7ba618ef92,城市。食畫誌,愛食記部落客(529篇食記),0,台北美食●大稻埕魯肉飯●傳承一甲子的古早味+ 5分享開啟食記›,
大稻埕魯肉飯,568e412a699b6e17b8720bae,Me food x Meet food,愛食記部落客(249篇食記),4,覓食嘰咕喂 #大稻埕滷肉飯 一句話簡評：愛店之一 有到附近一定來吃 超完美豬腳！是否會再訪：會推薦指數：★★★★★（最多五顆星）#覓食 #meetfood #大稻埕 #北門站 #北門 #followforfollow #follow4follow #followtrain #taiwan #taipei #台北+ 2分享,
大稻埕魯肉飯,59e5fb1af52468535fb319d7,愛許莉Ashley 的吃喝玩樂拼圖,愛食記部落客(183篇食記),4,台北大同-台灣小吃代表之一，老店傳統好滋味．味美價廉平民小吃-大稻埕魯肉飯+ 4分享開啟食記›,
大稻埕魯肉飯,54ac229cd4fdab6eca38e0ea,愛吃鬼芸芸,愛食記部落客(2503篇食記),0,北車美食 | 大稻埕魯肉飯，符合現代人口味的清淡魯肉飯+ 3分享開啟食記›,
大稻埕魯肉飯,57845a5923679c1bbca1a983,Ying Hsuan,愛食記部落客(16篇食記),5,台北大稻埕魯肉飯-好吃豬腳、控肉表示讚賞分享開啟食記›,
大稻埕魯肉飯,551167ee2756dd0fca441399,妮妮女王,愛食記部落客(1657篇食記),0,大稻埕魯肉飯 台北車站魯肉飯店推薦 台北華陰街魯肉飯推薦+ 6分享開啟食記›,
大稻埕魯肉飯,57a0249d2756dd063102f430,安魯魯與陽光姐,愛食記部落客(234篇食記),4,"大稻埕魯肉飯-控肉、豬腳滷得入味吃起來Ｑ彈,視覺和味覺都很享受的傳統美味台式小吃餐廳+ 3分享開啟食記›",
大稻埕魯肉飯,568cb89c699b6e3098d08092,靜怡&大顆呆,愛食記部落客(571篇食記),5,大稻埕魯肉飯 ▶ 華陰街商圈美食 ▶傳承60年的台灣古早味 魯肉飯、豬腳、控肉飯推薦+ 2分享開啟食記›,
大稻埕魯肉飯,5698e5e9699b6e175375b2de,Froda生活日記,愛食記部落客(157篇食記),4.5,大稻埕魯肉飯：就是愛這台灣味！豬腳／控肉／滷肉飯．台北車站平價小吃&外送表示讚賞分享開啟食記›,
大稻埕魯肉飯,57eba44c2756dd4c81543dc4,舞者LOLO吃貨鬼,愛食記部落客(114篇食記),4,｜大稻埕魯肉飯｜華陰街商圈美食來自阿公６０年的美味精粹＋台北後火車站便宜批店大公開！+ 2分享開啟食記›,
大稻埕魯肉飯,5933dab9699b6e01c06e9396,G子,愛食記部落客(144篇食記),4,"大稻埕魯肉飯-六十年控肉豬腳古早味,肥肉控Love.台北後火車站.台灣小吃表示讚賞分享開啟食記›",
大稻埕魯肉飯,536b007440d18d60cf82efd3,一百棻,愛食記部落客(32篇食記),4,大稻埕魯肉飯│西餐手法也能結合古早味小吃？！+ 3分享開啟食記›,
大稻埕魯肉飯,55b73953699b6e7548633b6d,奇奇一起玩樂趣,愛食記部落客(1211篇食記),0,大稻埕魯肉飯 豬腳．控肉 傳承60年的好味道+ 5分享開啟食記›,
大稻埕魯肉飯,586a5c9f23679c261e8988b5,Sweet Tina 樂在生活分享,愛食記部落客(327篇食記),4.5,大稻埕魯肉飯-傳承60年的老滷美味 | 魯肉飯、控肉飯 ღ大稻埕美食．華陰街美食ღ+ 3分享開啟食記›,
大稻埕魯肉飯,59aecd0023679c06d3956457,Lydia Lin,愛食記部落客(16篇食記),5,大稻埕魯肉飯　來碗料多汁多味美的銷魂魯肉飯和眾多小菜吧+ 2分享開啟食記›,
大稻埕魯肉飯,5620f9e12756dd2056c21c2c,ifunny艾方妮,愛食記部落客(813篇食記),0,大稻埕魯肉飯~飄香60年的傳統好滋味+ 5分享開啟食記›,
大稻埕魯肉飯,54abdddbd4fdab6ecb691c4b,三號珍珍的小天地,愛食記部落客(351篇食記),0,大稻埕魯肉飯．台北後車站華陰街批發商圈．台灣古早味道地小吃推薦．．+ 1分享開啟食記›,
大稻埕魯肉飯,54d831152756dd62678a145e,Nancy將的生活筆計本,愛食記部落客(1149篇食記),0,"大稻埕魯肉飯/傳統滋味小吃/銅板美食/近北門站,後火車站/華陰街商圈/傳承60年的滋味+ 10分享開啟食記›",
