restaurant_series_num,name,star,comment_num,address,phone,avg_price,type
RSN_000023,鮮雞味,4.3,1,臺北市大安區臺北市臺灣 106 No. 45之11安東街之號,979698003,80,小吃宵夜晚餐
RSN_000024,南大門韓國烤肉,4,45,臺北市中山區林森北路119巷63號,225711017,500,韓式料理燒烤宵夜晚餐
RSN_000025,安好食 和平店,4,2,臺北市大安區和平東路二段118巷54弄6號,227384185,60,早午餐早餐午餐
RSN_000026,阿豬媽아줌마韓式烤肉ｘ火鍋吃到飽 西門店,2.8,4,台北市萬華區西寧南路123號4樓,223310511,420,韓式料理火鍋晚餐午餐
RSN_000027,Hoo. Donut 呼點甜甜圈,4.6,6,臺北市中正區南昌路二段9巷,223210036,190,甜點日本料理下午茶
RSN_000028,松青潤餅,4.3,7,臺北市中正區中華路二段311巷4號,930406677,50,小吃晚餐
RSN_000029,梅卿越南料理,4.3,6,臺北市士林區承德路四段40巷81號,228867252,300,晚餐午餐
RSN_000030,虎笑麵屋 Whole Chou,4.6,2,臺北市松山區三民路113巷18號1樓,227666978,250,小吃晚餐午餐
RSN_000031,必可蜜 PiQiMi,4.5,2,臺北市萬華區西寧南路119號,223111115,50,冰品飲料
RSN_000032,烏頂關東煮,2.4,2,臺北市大安區師大路49巷3之1號,223686659,100,晚餐
RSN_000033,Aj's wine & bistro,4.7,1,台北市大安區通化街171巷33號,227321189,2000,宵夜精緻高級餐酒館/酒吧約會餐廳
RSN_000034,百家樂鐵板燒,4,7,臺北市中山區民權東路二段13號,225859680,2000,合菜精緻高級約會餐廳晚餐
RSN_000035,來來豆漿,3,13,臺北市內湖區內湖路一段93號,227979253,200,小吃宵夜晚餐午餐
RSN_000036,Simple Kaffa 興波咖啡旗艦店,4.2,21,台北市中正區忠孝東路二段27號,233221888,300,甜點蛋糕早午餐
RSN_000037,uMeal 優膳糧,4.3,10,台北市信義區吳興街51號,287808026,160,晚餐午餐
RSN_000038,UMAMI 金色三麥,4.4,5,臺北市信義區松智路17號7F,227291229,750,精緻高級餐酒館/酒吧約會餐廳宵夜
RSN_000039,四食五Good Food大小通吃 麵線屋(延北),4.5,2,臺北市大同區延平北路一段69巷40號一樓,902157911,60,午餐
RSN_000040,青田七六,4.3,38,臺北市大安區青田街七巷六號,223916676,1200,日本料理約會餐廳精緻高級甜點
RSN_000041,台北西門町意舍酒店,4.3,1,臺北市萬華區武昌街二段77號5樓,223755111,240,蛋糕甜點下午茶
RSN_000042,小紅莓自助火鍋城,4.2,45,臺北市松山區寶清街24號,227676131,440,火鍋宵夜晚餐午餐
RSN_000043,QUE 原木燒烤餐廳,4.1,39,台北市南港區市民大道七段8號,226532899,750,燒烤牛排精緻高級
RSN_000044,山羊城全羊館,4.4,21,台北市松山區健康路300號,227531283,500,小吃火鍋宵夜晚餐
RSN_000045,ANGEL CAFE,4,4,臺北市大安區永康街18號,233433533,350,咖啡下午茶
RSN_000046,珍饌鹹粥,4.2,9,臺北市大安區通化街68號,233433583,80,小吃
RSN_000047,鳥哲燒物料亭,4.3,42,臺北市士林區福華路128巷12號,228310166,800,日本料理燒烤精緻高級拉麵
RSN_000048,安妞韓辣燙,3.6,4,臺北市大安區安東街52之3號1樓,227784566,200,韓式料理晚餐午餐
RSN_000049,紅九九個人鴛鴦鍋 市府店,4.5,33,臺北市信義區逸仙路42巷9號,287867299,700,火鍋宵夜下午茶
RSN_000050,Jiala coffee 加辣咖啡,4.7,14,臺北市中山區五常街53巷13號,225182510,230,咖啡早午餐下午茶
RSN_000051,嘉當歸鴨肉麵飯,3.9,1,臺北市信義區永吉路30巷89號,227530028,85,小吃晚餐午餐
RSN_000052,Together,4,19,臺北市大安區永康街31之6號,223933628,150,咖啡義式料理下午茶
RSN_000053,MeetFresh鮮芋仙,3.9,1,臺北市大安區永康街31之87號,227312355,55,甜點
RSN_000054,苒冉小食光,4.4,3,臺北市南港區興中路28巷5號,227889639,150,咖啡下午茶
RSN_000055,佐藤精肉店 shihlin,4.3,9,台北市士林區文林路167號2樓,228810121,150,日本料理晚餐午餐
RSN_000056,雙月食品社,4.3,199,臺北市中正區青島東路6之2號,233938953,250,小吃晚餐
RSN_000057,阿義魯肉飯,4,15,台北市萬華區華西街觀光夜市攤號151號,979773168,50,小吃
RSN_000058,神來一鍋,4.6,8,臺北市內湖區文德路30號,226589987,582,火鍋宵夜精緻高級約會餐廳
RSN_000059,辣椒先生-川味麻辣燙,4.8,2,臺北市文山區景華街78號,983602613,890,小吃宵夜晚餐
RSN_000060,鍋&Bar精緻鍋物餐酒館 微風復興店,5,5,臺北市松山區復興南路一段39號G樓66櫃,287722362,700,火鍋精緻高級約會餐廳晚餐
RSN_000061,貝克宅 Roasting House - Beckhome Roasting House,4.2,13,臺北市中山區南京東路三段89巷5弄4號,225176722,200,咖啡甜點早午餐
RSN_000062,城中市場老牌牛肉拉麵大王,4.3,23,臺北市中正區重慶南路一段46巷7號,223815604,140,小吃牛肉麵晚餐
RSN_000063,全統西點麵包-天母東路店,4.3,1,臺北市士林區天母東路36之4號,228711041,230,甜點蛋糕下午茶
RSN_000064,Kakigori Toshihiko,4.3,18,台北市中正區金門街2-2號,228711042,870,日本料理甜點冰品飲料
RSN_000065,天母國賓經典川粵菜,4.1,4,臺北市士林區中山北路六段88號B1樓,228312729,470,中式料理合菜晚餐午餐
RSN_000066,煇煌川菜小館,3.9,2,臺北市中正區延平南路166號,223817448,870,中式料理合菜晚餐午餐
RSN_000067,老山東牛肉麵,3.9,15,臺北市萬華區西寧南路70號,223891216,140,小吃牛肉麵晚餐午餐
RSN_000068,春桃手作厚工甜品,4.6,1,臺北市萬華區永福街56號,223891216,150,甜點
RSN_000069,吉利街無名小籠包,4.2,5,臺北市北投區吉利街166號,933200806,170,小吃早餐
RSN_000070,京旺料亭,4.9,3,臺北市士林區士東路336號1樓,228385689,600,火鍋精緻高級約會餐廳
RSN_000071,鴨寨夫人,4.7,1,臺北市北投區中央北路四段533號,908389381,500,小吃晚餐午餐
RSN_000072,Ulove羽樂歐陸創意料理,4.7,36,臺北市松山區南京東路四段162號,225782656,1000,義式料理餐酒館/酒吧約會餐廳
RSN_000073,幸和殿日式手作料理,4.5,11,臺北市內湖區內湖路一段285巷65弄24號,287519785,500,日本料理約會餐廳精緻高級晚餐
RSN_000074,星海食事所,4.6,1,臺北市大安區延吉街68之36號1樓,287726930,600,日本料理晚餐
RSN_000075,ONE GOOD烤肉飯,4.5,1,臺北市松山區光復南路17巷34號1樓,227623209,200,晚餐午餐
RSN_000076,詹記麻辣火鍋 敦南店,4.4,14,臺北市大安區和平東路三段60號,223777799,800,火鍋宵夜晚餐
RSN_000077,Chinese Whispers悄悄話餐酒館,4.3,64,臺北市大安區仁愛路四段345巷2弄11號,227783988,500,義式料理牛排
RSN_000078,台一牛奶大王,4.1,42,臺北市大安區新生南路三段82號,223634341,70,甜點小吃冰品飲料宵夜
RSN_000079,東京巴黎甜點 南京店,4.7,5,台北市中山區南京東路二段25號,225210058,180,甜點下午茶
RSN_000080,Mosun 墨賞新鐵板料理餐廳,4.3,61,臺北市大安區忠孝東路四段155號2樓,227319966,1680,精緻高級約會餐廳晚餐午餐
RSN_000081,格萊天漾大飯店 Great Skyview,4.1,2,臺北市萬華區艋舺大道101號,223383366,1100,中式料理合菜晚餐午餐
RSN_000082,13號麵線,4.1,1,臺北市南港區中坡南路13號,979858867,85,小吃晚餐午餐
RSN_000083,Shawn Coffee,4.5,5,台北市松山區新中街8巷16號,237621020,140,咖啡下午茶
RSN_000084,半嶺桶仔雞,4.2,2,臺北市北投區紗帽路40之17號,228621192,350,晚餐午餐
RSN_000085,幸運角咖啡,4.6,2,臺北市信義區吳興街345巷4號,227226818,300,咖啡甜點
RSN_000086,Hush Taipei 餐酒館,4.9,3,臺北市大安區市民大道四段34號,227789069,1500,精緻高級義式料理餐酒館/酒吧約會餐廳
RSN_000087,天喜迷你小火鍋,3.8,34,臺北市大同區南京西路306號,225586781,220,火鍋晚餐午餐
RSN_000088,QUICHEZ派出所,4.6,6,台北市大安區溫州街74巷14號,985347011,170,早午餐晚餐午餐
RSN_000089,街口6號珈啡 Street No.6,4.5,2,臺北市萬華區貴陽街二段6號,223112252,350,甜點
RSN_000090,銀座越南餐館,4.2,7,臺北市中正區羅斯福路三段286巷4弄6號,223691733,160,晚餐午餐
RSN_000091,獨特牛排館,4.7,7,臺北市文山區景美街92號,229307729,390,牛排晚餐午餐
RSN_000092,府香蒸臭豆腐,4.6,3,臺北市中山區民生東路三段41之1號,225048319,100,晚餐午餐
RSN_000093,Muzeo Gastronomy&Draft,4.4,1,臺北市大安區忠孝東路四段170巷6弄14號,227525299,3000,精緻高級餐酒館/酒吧晚餐
RSN_000094,銀座杏子日式豬排-信義威秀店,4.1,2,臺北市信義區松壽路20號2樓,227223188,467,日本料理晚餐午餐
RSN_000095,黑老闆胡椒餅,4.4,1,臺北市士林區基河路1號,983817444,770,小吃宵夜晚餐
RSN_000096,小丁豆漿,4.1,7,臺北市北投區明德路172號,228280007,340,小吃早餐
RSN_000097,Closet Restaurant & Bar,4.5,28,台北市大安區忠孝東路四段101巷15號,227317919,500,義式料理甜點精緻高級
RSN_000098,星乃珈琲店,3.3,4,臺北市中山區南京西路12號,227317912,400,咖啡甜點下午茶
RSN_000099,雞湯大叔 忠孝店,4.5,12,臺北市大安區光復南路200巷9號,227754408,330,火鍋精緻高級約會餐廳
RSN_000100,竹苑shabu,4.7,14,台北市大安區大安路一段31巷31號,227713377,1200,火鍋合菜約會餐廳精緻高級
RSN_000101,川渝小吃坊,4.4,20,台北市大同區南京西路18巷6弄8之1號,225599101,250,小吃中式料理合菜晚餐
RSN_000102,小憩睡眠咖啡館,4.8,4,台北市中山區長春路182-1號,225153220,400,咖啡
RSN_000103,Meat Love橡木炭火韓國烤肉 美麗華店,3.8,1,臺北市中山區敬業三路20號5樓,285011027,600,韓式料理晚餐午餐
RSN_000104,黃家香腸,4.6,26,臺北市中正區泉州街32之3號,223097428,30,小吃下午茶
RSN_000105,東門赤肉羹,4.5,15,臺北市中正區臨沂街56號,932139491,80,小吃早餐午餐
RSN_000106,七見櫻堂巧克力甜點專賣店,4.3,21,臺北市大安區泰順街28號,233652252,300,甜點蛋糕下午茶
RSN_000107,天外天精製無煙燒肉,4.1,15,臺北市中山區民權東路一段67號,225923400,680,火鍋精緻高級約會餐廳
RSN_000108,友達居酒屋,4.4,20,臺北市大安區延吉街131巷33號,227780525,1200,日本料理燒烤約會餐廳精緻高級
RSN_000109,Hugdayday 烈奶茶,4.6,6,臺北市信義區基隆路一段165號,237652909,50,精緻高級約會餐廳冰品飲料下午茶
RSN_000110,瓦崎燒烤火鍋 敦南店,3.5,29,臺北市大安區敦化南路一段160巷60號,227525099,899,火鍋約會餐廳精緻高級宵夜
RSN_000111,T.G.I.Fridays,4,5,臺北市中山區敬業三路22號2F,221753358,600,美式料理宵夜晚餐午餐
RSN_000112,老舅的家鄉味,3.8,13,臺北市松山區復興北路307號,227181122,600,火鍋精緻高級約會餐廳
RSN_000113,京東燒肉專門店忠孝店,4.2,12,臺北市大安區忠孝東路四段216巷8弄10號,287738818,2000,燒烤精緻高級約會餐廳晚餐
RSN_000114,小丘chiu,4.5,8,臺北市大安區泰順街40巷2號,958030814,180,咖哩甜點冰品飲料
RSN_000115,大象吸花生 Elepeanut.8,4.8,2,臺北市中山區農安街2巷18之23號晴光市場,225951708,60,冰品飲料
RSN_000116,喬喜蛋炒飯專賣店,3.9,7,臺北市中正區臨沂街3巷7號,223963554,100,小吃晚餐午餐
RSN_000117,Gonna 共樂遊食．旅．生活,4.5,14,臺北市內湖區石潭路145號,287939663,400,咖啡早午餐義式料理約會餐廳
RSN_000118,羅本家咖哩,4.7,6,臺北市大同區長安西路138巷3弄2號,902198712,680,咖哩晚餐午餐
RSN_000119,曜日義式餐酒館,4.5,34,台北市大安區東豐街53號1樓,227085910,500,義式料理餐酒館/酒吧約會餐廳精緻高級
RSN_000120,不老麻鍋物,4.5,9,臺北市中山區長安東路二段33號,225682100,380,火鍋晚餐午餐
RSN_000121,OTIS Caf'e,4.5,5,臺北市士林區美德街104號,228319191,200,咖啡咖哩下午茶
RSN_000122,愛麗絲咖啡廳,4.1,1,臺北市信義區信義路六段9號,227272609,300,咖啡早午餐義式料理
RSN_000123,興蓬萊台菜海鮮餐廳,4.2,11,台北市士林區中山北路七段55號,228771168,500,中式料理合菜晚餐午餐
RSN_000124,Café del SOL,4.2,17,臺北市信義區忠孝東路五段68號2F,227228260,500,甜點早午餐義式料理下午茶
RSN_000125,三三活力早餐店,4.2,37,臺北市文山區木新路三段122號,222345728,100,早午餐小吃早餐
RSN_000126,午甘單brunch,4.8,5,臺北市大安區通安街7號1樓,227013561,350,早午餐午餐
RSN_000127,創作串燒-野崎,4.7,1,臺北市大安區忠孝東路四段216巷33弄19號1樓,227790335,450,日本料理宵夜居酒屋晚餐
RSN_000128,故意good eat海鮮鍋物,4,9,臺北市大安區復興南路一段107巷5弄13號,227783353,890,火鍋晚餐
RSN_000129,森小館,5,1,台北市信義區忠孝東路四段559巷18號,227632246,100,中式料理合菜
RSN_000130,肉老大 頂級肉品涮涮鍋 錦西店,4.7,33,臺北市中山區錦西街11號,225361777,350,火鍋宵夜晚餐午餐
RSN_000131,Saturn Landing Turkish Coffee,4.8,7,臺北市大安區四維路154巷23號,227555108,500,咖啡約會餐廳精緻高級
RSN_000132,士林生炒羊肉,3.7,26,臺北市士林區大東路21之3號,288613476,170,小吃晚餐
RSN_000133,Suki-Ya すき屋 壽喜屋,2.9,15,臺北市信義區松壽路12號5樓,277373996,498,火鍋晚餐午餐
RSN_000134,林東芳牛肉麵,3.8,98,臺北市中山區安東街4之3號,227522556,160,小吃合菜宵夜牛肉麵
RSN_000135,花甜果室,3.9,115,台北市大安區敦化南路一段160巷40號,227110234,120,甜點冰品飲料
RSN_000136,Stoppage Time 補時,4.5,53,臺北市大安區和平東路二段96巷15弄30號,227366506,350,咖啡甜點蛋糕早午餐
RSN_000137,蘇阿姨比薩屋,4.1,95,臺北市大安區光復南路300號,227402328,350,義式料理晚餐午餐
RSN_000138,辣中間,4,4,臺北市中山區樂群三路39號,285025665,500,火鍋晚餐午餐
RSN_000139,沒事早事坐,4.2,25,臺北市中山區新生北路二段68巷26號,225412001,100,早午餐美式料理早餐
RSN_000140,L.A PHO越南河粉,4.1,12,臺北市信義區松壽路30號,227228770,350,美式料理晚餐午餐
RSN_000141,小蒙牛頂級麻辣養生鍋,4.1,6,臺北市中正區漢口街一段3號2樓,223118333,769,火鍋晚餐午餐
RSN_000142,生活在他方 elsewhere cafe,4.5,90,臺北市中正區羅斯福路一段119巷3號,233932018,150,甜點咖啡早午餐蛋糕
RSN_000143,為福樓(信義店),4,1,臺北市大安區信義路四段199巷4號,227084242,600,火鍋合菜晚餐午餐
RSN_000144,烏石水產火鍋超市(烤)-三創店,4.6,5,臺北市中正區市民大道三段2號9樓,223511268,399,火鍋晚餐午餐
RSN_000145,餵我早餐,3.8,42,臺北市大安區建國南路二段11巷28之1號,227003658,350,早午餐美式料理約會餐廳精緻高級
RSN_000146,饞哭了煎餅果子,4.3,6,臺北市松山區南京東路四段133巷8弄1號,908885252,60,小吃晚餐午餐
RSN_000147,韓華園,4.1,13,臺北市中山區民權東路三段47號1樓,225065706,420,韓式料理晚餐午餐
RSN_000148,PAULIE'S PIZZA 波利斯美式窯烤披薩,4.5,1,臺北市松山區慶城街1號4樓,225458123,300,義式料理晚餐午餐
RSN_000149,世界的山將,3.9,26,台北市信義區忠孝東路五段15巷10號1樓,227651701,600,日本料理約會餐廳居酒屋宵夜
RSN_000150,忻殿堂,4.8,39,臺北市大安區敦化南路一段160巷12號,287713936,600,火鍋合菜精緻高級
RSN_000151,初COFFEE&PASTA,5,1,臺北市大同區華陰街94號2樓,225502330,200,義式料理早午餐晚餐午餐
RSN_000152,窩巷弄,4.1,93,臺北市中正區羅斯福路四段78巷1弄11號,223630313,300,義式料理早午餐精緻高級約會餐廳
RSN_000153,屋頂上的貓 私廚,4.5,24,臺北市信義區逸仙路32巷9號,961173451,1800,日本料理精緻高級約會餐廳午餐
RSN_000154,熹正園東北精緻麵食,4.1,2,臺北市內湖區文德路19號,226572766,2300,精緻高級約會餐廳晚餐午餐
RSN_000155,佐樂壽司,4.4,40,臺北市大安區大安路一段192號,227048200,3500,日本料理約會餐廳精緻高級
RSN_000156,稲町家香料咖哩,4.9,8,臺北市中山區中山北路二段42巷20號,225622050,280,咖哩
RSN_000157,海石三,4.3,6,臺北市中山區民生東路二段146號,911162226,100,早午餐美式料理早餐
RSN_000158,巧哚洋房餐飲坊,4.8,10,臺北市大安區仁愛路四段345巷5弄17號,227783347,1000,義式料理約會餐廳精緻高級晚餐
RSN_000159,古早味豆花,4.2,12,臺北市大同區民生西路210號,225581800,50,甜點冰品飲料小吃宵夜
RSN_000160,Schumann's Bistro No. 6 南京店,5,1,臺北市松山區南京東路三段303巷8弄11號,227188108,400,早午餐精緻高級約會餐廳
RSN_000161,四鄉五島馬祖麵店,3.8,28,臺北市中山區遼寧街7號,227715406,100,小吃宵夜晚餐
RSN_000162,海天香餃,4,16,臺北市萬華區和平西路三段168號,223062385,85,晚餐午餐
RSN_000163,義術家 義大利麵、buffet吃到飽,3.7,11,臺北市大安區光復南路280巷42號,227118007,320,義式料理韓式料理下午茶
RSN_000164,星野肉肉鍋,4.2,2,台北市中正區忠孝西路一段66號B1,227118005,290,火鍋
RSN_000165,WAT Bar,4.2,1,台北市信義區信義路五段16號1樓,227205161,430,餐酒館/酒吧約會餐廳
RSN_000166,微風建一食堂,4.1,86,臺北市中山區八德路二段300巷10號,287722178,2500,日本料理精緻高級約會餐廳
RSN_000167,鳥心 (原 染乃井),4.3,39,臺北市中山區南京東路一段31巷6號1樓,225215860,300,日本料理燒烤約會餐廳精緻高級
RSN_000168,108抹茶茶廊 Matcha Saro,4.1,94,台北市大同區承德路一段1號B3F,225555785,45,甜點蛋糕冰品飲料
RSN_000169,秋紅肚房,4.6,4,臺北市中正區汀州路三段230巷43號,225555785,120,小吃午餐
RSN_000170,Drunk Cafe爛醉咖啡,3.9,37,臺北市大安區光復南路116巷9號,227318787,700,咖啡精緻高級約會餐廳
RSN_000171,川夜宴無二火鍋樓,4.4,10,臺北市中山區松江路301號2樓,225168550,695,火鍋合菜晚餐午餐
RSN_000172,第一土鵝,4.1,9,臺北市大同區酒泉街54之1號,225932844,100,小吃晚餐
RSN_000173,怡客咖啡 士林店,3.7,2,臺北市士林區中正路231號,228805920,300,咖啡早餐
RSN_000174,ELEFUN café 艾楽咖啡,4.7,2,臺北市信義區基隆路二段39巷4號,227322678,100,咖啡
RSN_000175,沐田No.2-1涮涮工廠,4.6,12,臺北市大同區南京西路25巷2之1號2、103,225598389,500,火鍋晚餐
RSN_000176,好客燒烤 信義店,4.2,71,臺北市信義區基隆路一段163號,227655859,858,燒烤精緻高級約會餐廳
RSN_000177,燒桶子韓風立燒,4.4,45,臺北市大安區延吉街99號,227219192,600,韓式料理燒烤約會餐廳宵夜
RSN_000178,スシロー壽司郎 台灣旗艦店,3.9,63,臺北市中正區館前路8號2樓,223612638,400,日本料理晚餐午餐
RSN_000179,微風松高,4.1,1,臺北市信義區松高路16號,266369959,300,日本料理居酒屋晚餐午餐
RSN_000180,呷咪,4.2,4,臺北市大安區市民大道四段179號1樓,225772771,100,小吃宵夜牛肉麵晚餐
RSN_000181,魯蛋茶酒館,4.5,2,臺北市大同區迪化街一段333號,225536111,700,宵夜餐酒館/酒吧約會餐廳晚餐
RSN_000182,一期一會（鮨),4.5,28,臺北市松山區長春路438號,287706220,1200,日本料理精緻高級約會餐廳
RSN_000183,山頭火拉麵,3.8,31,臺北市大安區忠孝東路三段300號B2樓,227317533,250,拉麵日本料理晚餐午餐
RSN_000184,激屋居酒屋,4.6,6,臺北市中山區林森北路119巷77號,225319210,1000,日本料理宵夜居酒屋
RSN_000185,初の鮨,4.4,1,台北市信義區莊敬路409號1樓,227206619,1000,日本料理晚餐午餐
RSN_000186,森蘭夜食小酒居,4.9,5,臺北市中山區民權東路一段12巷15號1樓,900670178,600,日本料理宵夜居酒屋晚餐
RSN_000187,鍋&Bar精緻鍋物餐酒館,4.9,5,臺北市大安區敦化南路一段270巷21號1樓,227718581,680,火鍋宵夜
RSN_000188,稻香石磨腸粉,4.1,23,臺北市中山區松江路330巷36之3號,972229309,100,港式料理小吃晚餐午餐
RSN_000189,齊民市集火鍋,4.1,10,臺北市大安區信義路二段158號2樓,223279824,300,火鍋晚餐午餐
RSN_000190,牛肆,4.7,9,臺北市中山區吉林路422號,905080026,800,火鍋晚餐
RSN_000191,大直粥品,4,12,臺北市中山區北安路567號,225336653,75,小吃晚餐午餐
RSN_000192,太興茶餐廳 台北店,2.8,18,台北市中正區北平西路3號2F,223816786,420,港式料理下午茶
RSN_000193,天外天精緻麻辣火鍋,4,2,臺北市中山區民權東路二段1號,225963200,870,火鍋精緻高級
RSN_000194,果然文創,4.7,3,臺北市大同區哈密街59巷38弄19號,225912952,280,下午茶午餐
RSN_000195,某某甜點 Quelques Pâtisseries,4.4,40,台北市大安區安和路一段102巷23號,227554097,250,甜點精緻高級約會餐廳蛋糕
RSN_000196,滿穗台菜,4.3,14,臺北市中山區松江路128號,225412020,600,中式料理約會餐廳精緻高級合菜
RSN_000197,麵屋壹慶,4.6,8,臺北市中山區雙城街32巷2號,225412021,240,拉麵日本料理晚餐
RSN_000198,BLAnC 中山,4.6,5,臺北市中山區中山北路二段36巷7號2樓,225681758,500,咖啡早午餐義式料理
RSN_000199,陳陽鵝肉大王,4,8,臺北市大安區大安路31巷8號1樓,227755252,290,小吃晚餐午餐
RSN_000200,台北香格里拉遠東國際大飯店,4.3,8,台北市大安區敦化南路二段210號6,223788888,580,日本料理宵夜下午茶晚餐
RSN_000201,公雞咖啡,3.8,40,臺北市大同區南京西路25巷20之5號,982081464,290,咖啡早午餐
RSN_000202,月夜岩 蟹懷石,4.6,9,臺北市中山區雙城街25巷9號1樓,225859221,5400,日本料理精緻高級約會餐廳晚餐
RSN_000203,Nargis 納吉司台北概念茶館,5,1,臺北市中山區民生東路二段127巷10號,225642521,130,精緻高級約會餐廳
RSN_000204,矮仔財滷肉飯,4,53,臺北市北投區新市街30號,932386789,55,小吃早午餐早餐
RSN_000205,北極光創意料理,3.6,5,臺北市士林區中正路208號,228367755,250,義式料理晚餐午餐
RSN_000206,Smith & Wollensky 牛排館,4.2,12,臺北市信義區松智路17號47樓,223455647,3300,牛排精緻高級約會餐廳宵夜
RSN_000207,貳房苑 Livingreen,4.1,9,臺北市大安區潮州街76號,223912866,200,甜點下午茶
RSN_000208,Shishlik Pita x Kebab 西西里克中東串燒（餐館店）,4.4,5,臺北市中正區羅斯福路四段138號2樓,223681600,400,日本料理約會餐廳居酒屋
RSN_000209,老鼎旺功夫銷魂麵鋪-新光南西店,3.2,8,臺北市中山區南京西路15號,225681155,70,晚餐午餐
RSN_000210,A.K.12美式小館,4.2,46,臺北市萬華區峨嵋街12號2樓,223610136,280,美式料理早午餐約會餐廳義式料理
RSN_000211,鍋媽媽,3.9,42,臺北市中山區天祥路6號,225314598,550,火鍋晚餐午餐
RSN_000212,蓮飲料吧,4.3,1,臺北市大同區寧夏路001攤位,931169090,270,宵夜小吃
RSN_000213,WHY NOT?CURRY,4.9,4,臺北市大安區通化街101巷2號,903206943,2000,咖哩晚餐午餐
RSN_000214,米匠Mi Jian,4.6,4,臺北市中山區中山北路1段140巷3號,906131888,1200,日本料理早餐晚餐午餐
RSN_000215,地中海牛排館 歐華酒店,4.4,76,臺北市中山區林森北路646號,225853258,2500,精緻高級約會餐廳牛排餐酒館/酒吧
RSN_000216,大師兄銷魂麵舖,3.6,53,臺北市中山區中山北路二段42巷36號,225235700,250,小吃牛肉麵晚餐午餐
RSN_000217,不一樣饅頭店,4,2,臺北市大安區金山南路二段149號,223917829,100,小吃午餐
RSN_000218,阿母的店,4.4,6,臺北市大安區樂業街146號,227320751,200,小吃晚餐午餐
RSN_000219,沐樺涮涮鍋,4.1,18,臺北市松山區三民路110巷4號,227600985,600,火鍋精緻高級約會餐廳晚餐
RSN_000220,當歸香當歸豬腳,4.3,6,臺北市萬華區華西街131號,223046147,399,小吃晚餐午餐
RSN_000221,願有記,4.4,8,台北市大安區復興南路二段340巷7號1樓,287328282,70,港式料理合菜晚餐午餐
RSN_000222,火鍋106-粵式豬肚雞煲鍋光復店,4.4,7,臺北市大安區光復南路240巷5號,227216008,800,火鍋中式料理合菜晚餐
RSN_000223,十二粵,4,8,臺北市信義區信義路五段7號4樓,281018298,700,中式料理港式料理合菜下午茶
